enum_H,enum_ψREF,enum_pool,enum_method,nV,nH,seed_H,seed_ψ,numparams,runtime,purity,entropy,distance,fidelity
twolocal,entangled,twolocal,renyi,4,2,1,1,14,3.385007381439209,0.6440570678737785,0.5618752061158322,0.20081636970279018,0.5261236544901794
twolocal,entangled,twolocal,renyi,4,2,1,1,15,4.139765501022339,0.6456766477849424,0.5608167431098051,0.30854762921766926,0.5458484078016015
twolocal,entangled,twolocal,renyi,4,2,1,1,16,4.856323480606079,0.6250668059583364,0.5738047425659845,0.3219541446286366,0.5487012733285003
twolocal,entangled,twolocal,renyi,4,2,1,1,17,5.75115442276001,0.6259398386806599,0.573280757446279,0.3882983005383041,0.5543563128875085
twolocal,entangled,twolocal,renyi,4,2,1,1,18,6.823338508605957,0.611463921167272,0.5814271244528391,0.41053651453481227,0.5589656145743271
twolocal,entangled,twolocal,renyi,4,2,1,1,19,7.920740604400635,0.6254818212318198,0.5735560305976464,0.4391956005016087,0.5630691874047825
twolocal,entangled,twolocal,renyi,4,2,1,1,20,8.8778235912323,0.6333371491502889,0.5687335193101124,0.48333504194755794,0.5637652945609273
twolocal,entangled,twolocal,renyi,4,2,1,1,21,9.875118494033813,0.6320835166334691,0.5695163609738342,0.48214695737863694,0.5645133318765349
twolocal,entangled,twolocal,renyi,4,2,1,1,22,11.17296051979065,0.6294705397888396,0.5711328173142535,0.46386752974806544,0.5685916173175718
twolocal,entangled,twolocal,renyi,4,2,1,1,23,12.395070552825928,0.6297219386927884,0.5709782342448311,0.4406698673013629,0.5716366387976903
twolocal,entangled,twolocal,renyi,4,2,1,1,24,13.749731540679932,0.6229096317124576,0.5750859259657289,0.4432946757657758,0.5722417656037474
twolocal,entangled,twolocal,renyi,4,2,1,1,25,15.216107606887817,0.6222134736837632,0.5754949837860176,0.4336160358626081,0.5713949617167562
twolocal,entangled,twolocal,renyi,4,2,1,1,26,16.916191577911377,0.6234325196954678,0.5747772238654041,0.43618738877019636,0.5761744693252194
twolocal,entangled,twolocal,renyi,4,2,1,1,27,18.662352561950684,0.6201506832908785,0.5766931526655393,0.4345903437714139,0.5788304996103124
twolocal,entangled,twolocal,renyi,4,2,1,1,28,20.505048513412476,0.6212830973968164,0.5760380560710452,0.4313075870631046,0.5803671748488349
twolocal,entangled,twolocal,renyi,4,2,1,1,29,22.665897607803345,0.6182234128932885,0.5777917325036812,0.4047456157092716,0.5815503754038743
twolocal,entangled,twolocal,renyi,4,2,1,1,30,24.95993947982788,0.497013860580496,0.8179898478312252,0.3144031696893926,0.6458162703040757
twolocal,entangled,twolocal,renyi,4,2,1,1,31,31.401199340820312,0.48919497722919314,0.8590896084748836,0.32238407746944264,0.6604962216747584
twolocal,entangled,twolocal,renyi,4,2,1,1,32,34.12761735916138,0.49558245014011326,0.847818279715178,0.324849495832551,0.6617329639354738
twolocal,entangled,twolocal,renyi,4,2,1,1,33,39.209256410598755,0.48339085263980364,0.879317896154622,0.35948101303765895,0.668440447592327
twolocal,entangled,twolocal,renyi,4,2,1,1,34,43.522356271743774,0.3519252564803507,1.1932551286902968,0.3213338302592599,0.6986294147481031
twolocal,entangled,twolocal,renyi,4,2,1,1,35,46.99365234375,0.34946988625578823,1.1979215228370008,0.31746314083987065,0.700969974631386
twolocal,entangled,twolocal,renyi,4,2,1,1,36,50.038732290267944,0.34503017844673434,1.2074851265251816,0.3197664662892276,0.7035693747012133
twolocal,entangled,twolocal,renyi,4,2,1,1,37,53.126662254333496,0.3427459605935226,1.2116867740349209,0.3172705645380176,0.7062042479118389
twolocal,entangled,twolocal,renyi,4,2,1,1,38,56.61437129974365,0.3406815609715423,1.2125193130166727,0.3147391891375076,0.7066494072507195
twolocal,entangled,twolocal,renyi,4,2,1,1,39,60.790255069732666,0.3326042145516178,1.2273899345035697,0.2876371560325015,0.7137237878655495
twolocal,entangled,twolocal,renyi,4,2,1,1,40,64.16894102096558,0.3273542560271119,1.2337476705823478,0.27559427436960915,0.7187278671326595
twolocal,entangled,twolocal,renyi,4,2,1,1,41,67.60276699066162,0.3179251299064,1.2542433173431489,0.2748620280229056,0.7203152158010799
twolocal,entangled,twolocal,renyi,4,2,1,1,42,71.10741305351257,0.3120346486990708,1.2652938958971955,0.2678214167306553,0.7209166062955424
